Membership No  Date Joined  Active  
    53469      2020-9-21    yes   
    56673      2016-4-23    no    
    15662      2017-5-20    no    
    58690      2019-3-1     yes   
    75258      2017-9-4     yes   
    14951      2018-9-13    yes   
    58035      2018-6-19    yes   
    24985      2016-9-25    no    
    58076      2020-10-19   no    
    88409      2017-4-21    no    
    57122      2017-11-9    no    
    31523      2020-10-5    yes   
    60781      2017-11-7    no    
    21631      2019-11-22   no    
    98683      2019-2-20    no    
    99630      2020-6-12    yes   
    62717      2016-6-20    no    
    94154      2020-1-7     no    
    96021      2019-4-10    no    
    88790      2019-7-25    yes   
