Membership No  Date Joined  Active  
    81290      2016-10-5    no    
    57558      2017-12-20   no    
    77021      2015-10-19   no    
    76360      2016-1-19    yes   
    83468      2019-2-9     yes   
    11026      2018-5-6     yes   
    66766      2016-4-1     yes   
    21342      2015-4-5     no    
    88619      2018-7-11    yes   
    48160      2018-3-25    no    
    12055      2020-11-23   no    
    65466      2018-4-17    yes   
    63163      2017-7-16    yes   
    92845      2015-2-10    yes   
    89395      2015-8-12    yes   
    39543      2018-5-6     yes   
    92780      2020-11-13   yes   
    38008      2018-6-19    no    
    29594      2020-11-12   yes   
    26894      2019-3-22    yes   
