Membership No  Date Joined  Active  
    85737      2017-9-15    no    
    16374      2016-6-1     yes   
    23081      2015-4-17    no    
    40178      2015-4-15    yes   
    88349      2016-1-23    yes   
    77944      2016-3-21    no    
    29479      2018-8-24    no    
    90207      2018-3-24    no    
    92154      2016-11-2    yes   
    37682      2019-12-4    no    
    85907      2017-3-5     yes   
    45005      2018-10-19   no    
    44424      2018-12-14   no    
    44553      2016-10-5    yes   
    50518      2020-6-24    no    
    63198      2016-10-5    no    
    24620      2018-3-21    yes   
    70552      2020-2-21    no    
    23124      2017-1-14    yes   
    82774      2019-11-16   no    
